Módulo,Operação,Tarefa,ID (mapeamento),Projeto,ID_US,DESC_US,ID_Task,DESC_Task,Tipo,Mapeado? (SIM ou NAO),Origem
Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,124,NewPCS,#36703,Criar Compensation List,#37332,Adicionar campos de preview na tela de Commodity Interchange,Negocio,Sim,Virtus
,,,125,Kaizen,#9,Como usuário quero me cadastrar no sistema - Frontend,,,,,
X,X,X,126,NewPCS,#15135,Alterações em Event Log,#37586,Ajustar a implementação de eventos para criar o log ao deletar registros usando o EventLogBuilder,Negocio,Nao,Virtus
X,X,X,127,NewPCS,#15135,Alterações em Event Log,#37827,"Alteração para Event Log de CFOP, PPBConssecion, Detached Record e Obligation Exchange",Negocio,Nao,Virtus
X,X,X,128,NewPCS,#15135,Alterações em Event Log,#37833,Alteração para Event Log de  R&D Investiment,Negocio,Nao,Virtus
X,X,X,129,NewPCS,#15135,Alterações em Event Log,#37932,Ajuste no Log de Ordinance,Negocio,Nao,Virtus
X,X,X,130,NewPCS,#15135,Alterações em Event Log,#37961,Criação do log de Exchange Rate Matrix,Negocio,Nao,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,131,NewPCS,#15125,"Ajuste no componente ""Swap""",#37591,Ajustar o componente para apagar o valor preenchido no input que for desabilitado,Negocio,Nao,Virtus
X,X,X,132,NewPCS,#15126,Tratar visibilidade dos inputs na compensação de P&D,#37588,Analisar solução atual do framework,Tecnica,Nao,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar tela inserção,133,NewPCS,#15126,Tratar visibilidade dos inputs na compensação de P&D,#37589,Ajustar frontend,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar rota de inserção de dados,134,NewPCS,#15126,Tratar visibilidade dos inputs na compensação de P&D,#37590,[Backend] Adicionar suporte ao input condicional nos forms de Exemption e Residual Difference.,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar chamada para tela de inserção,135,NewPCS,#15124,"Substituir o componente ""transfer"" pelo ""mini crud com autocomplete""",#37592,Substituir na tela de Part,Negocio,Sim,Virtus
Cadastro,Modificar_inserção_de_dados,Modificar chamada para tela de inserção,136,NewPCS,#15124,"Substituir o componente ""transfer"" pelo ""mini crud com autocomplete""",#37593,Substituir na tela de PPB Rules,Negocio,Sim,Virtus
X,X,X,137,NewPCS,#15108,Ajustar validações e testes Unitários e de Integração de Configuração de Commodity,#37408,Teste de Integração de Obrigação (Obligation),Tecnica,Nao,Virtus
X,X,X,138,NewPCS,#15108,Ajustar validações e testes Unitários e de Integração de Configuração de Commodity,#37409,Teste de unidade de Dispensa (Exemption),Tecnica,Nao,Virtus
