bug_id,severity,spec_id,name
10009,MEDIUM,7424,MO On Line com campo obrigatório vazio ou inválido (ABO - SMT)
10009,MEDIUM,7418,Mo On Line com campo obrigatório vazio ou inválido (ABO - AP)
10026,LOW,7424,MO On Line com campo obrigatório vazio ou inválido (ABO - SMT)
10068,LOW,4323,Internationalization Session Test
9604,LOW,6877,Edit SEND MAIL parameters with input validation
9604,LOW,4653,Publish diagram
9357,LOW,6294,Edit GOTOIFTIME parameters with input validation
10069,CRITICAL,7473,Adicionar novo scan
9860,CRITICAL,7574,Application installer
10065,LOW,4649,Conformance Test Session
9940,LOW,6164,Detecção de dispositivos
10067,LOW,4649,Conformance Test Session
9847,MEDIUM,6808,Preencher formulários em branco
9951,MEDIUM,6194,Interrupção na detecção de dispositivos [Desktop]
10102,LOW,6121,Login com dados válidos
9835,HIGH,7636,Cadastrar Item na despesa
10072,MEDIUM,6938,Name arrow coming from GET DIGITS
9612,MEDIUM,53,Exibição de modelo escaneado
9821,MEDIUM,7607,Layout - formulário
10091,MEDIUM,6197,Opções de streaming para usuário transmissor
10129,MEDIUM,4503,Tolerância a falhas e recuperabilidade - Histórico de check-in-
10090,HIGH,6229,Acessar e sair de sala de streaming com sucesso
10090,HIGH,6198,Criar sala [Treinamento]
10090,HIGH,6201,Criar sala [Suporte]
10113,MEDIUM,6202,Opções de streaming para usuário receptor
10082,HIGH,6201,Criar sala [Suporte]
10100,MEDIUM,6229,Acessar e sair de sala de streaming com sucesso
10109,MEDIUM,6252,Finalização de sala de streaming após uma hora
10112,LOW,3984,Edit media
10111,LOW,3982,Create media with previously registered name
10075,LOW,3827,Filter project
9130,HIGH,52,Comparação de modelos
10094,MEDIUM,7130,Enviar objeto 3D
8831,LOW,5154,Ordenação inicial do componente de sumarização
9483,LOW,5150,Serviço inicia automaticamente
10066,LOW,3731,Associate user with organization
10066,LOW,3739,Associate organization with user
9811,LOW,6954,Aplicar Filtro com sucesso
9787,MEDIUM,7381,Limite de caracteres para a modificação
9787,MEDIUM,7368,Limite de caracteres para Cadastro
9820,LOW,7359,Ocultar opções de filtro
9820,LOW,7005,Ocultar opções de filtro
9820,LOW,6958,Ocultar opções de filtro
9820,LOW,6264,Ocultar opções de filtro
9820,LOW,5184,Ocultar barra lateral de filtro
9820,LOW,5182,Ocultar opções de filtro
9838,MEDIUM,6254,Log para a ação de Adição
9838,MEDIUM,6273,Log para a ação de Modificação
9838,MEDIUM,6291,Visualização do Log Description - Adição
10163,MEDIUM,52,Comparação de modelos
10184,CRITICAL,6229,Acessar e sair de sala de streaming com sucesso
9986,CRITICAL,7739,Ações para convidado participante de evento global removido no Gamma
10097,MEDIUM,6121,Login com dados válidos
9842,MEDIUM,7023,Modificar um Part com sucesso
9842,MEDIUM,7025,Inserir um Part com sucesso
9813,MEDIUM,6961,Aplicar Filtro com dados inválidos
9839,MEDIUM,6848,Modificar SKU com sucesso
9907,HIGH,7464,List monitors
10239,HIGH,8351,Controle de acesso por permissões no sistema
9921,LOW,8109,Modificar Parts Maps com limite inválido de caracteres
9921,LOW,8101,Inserir Parts Maps com limite inválido de caracteres
9979,HIGH,8183,Criação de mais de 2 MACs para cada Serial Number
10118,HIGH,8152,Diminuir quantidade de MACS de uma MO
10029,HIGH,8149,Aumentar a quantidade de MACS de uma MO
9983,HIGH,8146,Verificar cor da linha destacada ao alterar os campos
10246,HIGH,3790,Adicionar nova peça de referência
10186,CRITICAL,4494,Autenticação com dados válidos
10205,LOW,6202,Opções de streaming para usuário receptor
10206,MEDIUM,6121,Login com dados válidos
10168,CRITICAL,7561,Monitor's region selection
9163,CRITICAL,3790,Adicionar nova peça de referência
10275,HIGH,7104,Acessar sala de streaming com sucesso
10233,LOW,4494,Autenticação com dados válidos
10228,MEDIUM,4494,Autenticação com dados válidos
10209,LOW,6120,Login com dados inválidos
10220,LOW,7125,Ações de visualizar objeto 3D para técnico de suporte
10232,MEDIUM,6122,Envio de e-mail ao esquecer senha
9801,MEDIUM,7750,Inspeção de usabilidade para tratamento de exclusão de evento global (convidado)
9537,LOW,7446,Ordenação de push mediante aplicação de filtros
9679,MEDIUM,7193,Inserir registro de Customer
9679,MEDIUM,7225,Modificar Customer excedendo limite de caracteres
9679,MEDIUM,7200,Modificar registro de Customer
9679,MEDIUM,7224,Inserir Customer excedendo limite de caracteres
9679,MEDIUM,7114,Inserir registro de Brand Name
9679,MEDIUM,7117,Inserir Brand Name excedendo limite de caracteres
9679,MEDIUM,5264,Atualizar formulário de Brand Name
9558,MEDIUM,7152,Ações de edição de dados após exclusão de eventos globais
9406,HIGH,52,Comparação de modelos
9560,MEDIUM,7149,Ações de criação de dados após exclusão de eventos globais
10302,HIGH,2029,Exportar convidados importados
10277,MEDIUM,7432,Validações dos campos de agendamento do push
10274,MEDIUM,7433,Cadastrar Push com sucesso para um App Application
9727,MEDIUM,7197,Permissões de usuários associado a administrador para Template de E-mail
10256,HIGH,7221,Enviar push para jogadores aplicando filtros
10213,HIGH,7193,Inserir registro de Customer
10213,HIGH,7225,Modificar Customer excedendo limite de caracteres
10213,HIGH,7200,Modificar registro de Customer
10213,HIGH,7224,Inserir Customer excedendo limite de caracteres
10213,HIGH,7114,Inserir registro de Brand Name
10187,HIGH,6254,Log para a ação de Adição
10187,HIGH,6273,Log para a ação de Modificação
10216,MEDIUM,6848,Modificar SKU com sucesso
10180,MEDIUM,4278,Criação de um administrador com e-mail já registrado em um recepcionista
8634,LOW,6259,Exibir opções de filtro
9905,LOW,4323,Internationalization Session Test
10195,MEDIUM,6293,Edit GOTOIFTIME parameters
8662,LOW,8436,Inserir registro com valores inválidos
9819,MEDIUM,8437,Inserir registro com valores inválidos
10073,HIGH,7724,Permissões de usuários para Jogadores
10377,LOW,3790,Adicionar nova peça de referência
10200,LOW,6857,Edit SAY PHONETIC parameters
10212,MEDIUM,5065,Get project information
10070,CRITICAL,5133,Configuração de versão mínima de android/IOS
9530,MEDIUM,7347,"Ações de selecionar a imagem durante o cadastro do ""App"" 9722,MEDIUM,7374,""Filtrar push por campanha"
9735,HIGH,7149,Ações de criação de dados após exclusão de eventos globais
10045,MEDIUM,7196,Permissões de usuários associado a administrador para eventos
9886,MEDIUM,7198,Permissões de usuários associado a administrador para Convidados(Eventos)
9887,LOW,7410,Criar Campanha campos obrigatórios
9909,MEDIUM,7120,Editar convidado com sucesso
10042,MEDIUM,2322,Botão de publicação para convidados e recepcionistas de um evento global
10215,MEDIUM,7023,Modificar um Part com sucesso
10371,MEDIUM,7098,Interromper transmissão de streaming
9862,LOW,7177,Decrease em itens repetidos
10117,CRITICAL,7464,List monitors
10191,MEDIUM,7745,Login no InvitationApp  (Rede bloqueada)
10363,MEDIUM,7102,Sair de uma sala de streaming
10114,MEDIUM,5190,Gerenciamento de eventos (tolerância a falhas e recuperabilidade)
9816,MEDIUM,7745,Login no InvitationApp  (Rede bloqueada)
10059,MEDIUM,7149,Ações de criação de dados após exclusão de eventos globais
10346,MEDIUM,7098,Interromper transmissão de streaming
10304,HIGH,8182,Criação de 2 MACs para cada Serial Number
10322,CRITICAL,52,Comparação de modelos
10336,LOW,7119,Verificações de Zoom e Luminosidade
10331,LOW,7103,Opções de finalização de streaming [transmissor]
10282,LOW,7107,Acessar e sair de sala de streaming com perfis diferentes
10230,LOW,4494,Autenticação com dados válidos
10278,MEDIUM,7105,Acessar sala de streaming com dados inválidos
10378,MEDIUM,3790,Adicionar nova peça de referência
10379,MEDIUM,3790,Adicionar nova peça de referência
10351,LOW,5431,Verificar padrões de UI e UX
10339,LOW,7098,Interromper transmissão de streaming
10152,CRITICAL,7542,Select a monitor from the list of monitors
10455,MEDIUM,7561,Monitor's region selection
10122,LOW,7653,Application uninstaller
9542,MEDIUM,7452,Ação dos botões no menu de filtros
10490,MEDIUM,8625,Ordenação da lista de Regiões
10175,MEDIUM,6525,Log de ações da funcionalidade de confirmação de presença
10181,HIGH,6060,Atualização da listagem de eventos após convidado ser desabilitado ou removido
10194,HIGH,5143,Confirmar dados (tolerância a falhas e recuperabilidade)
10280,CRITICAL,8325,Deletar um papel
9569,HIGH,7372,Inspeção de usabilidade para o formulário de criação de evento global
10221,MEDIUM,8294,"Menu dropdown ""Minha conta"" 9796,MEDIUM,7730,""Permissões de usuário para Usuários"
9796,MEDIUM,7220,Permissões de usuários associado a administrador para Super Administrador(Eventos)
10171,HIGH,7390,"Preenchimento do campo ""App Type"" durante a edição do ""App"" 10172,HIGH,7393,""Preenchimento do campo ""Google Analytics Tracking ID"" durante a edição do ""App"" 10264,HIGH,7491,""Pesquisar por push na lista de Push"
10269,HIGH,8319,Adicionar usuário  duplicado
10267,HIGH,8319,Adicionar usuário  duplicado
10313,MEDIUM,8344,Cadastrar usuário
10299,LOW,8355,Tooltips das permissões
10223,HIGH,8329,Alterar papel do usuário no sistema
10505,LOW,7561,Monitor's region selection
10390,CRITICAL,5383,"Cadastro de ""App"" com configuração de push com template site e app"
10390,CRITICAL,5385,"Cadastro de ""App"" com Configuração de push com template personalizado"
10385,MEDIUM,7196,Permissões de usuários associado a administrador para eventos
10382,MEDIUM,7393,"Preenchimento do campo ""Google Analytics Tracking ID"" durante a edição do ""App"" 10375,CRITICAL,7199,""Permissões de usuários associado a administrador para Recepcionista(Eventos)"
10369,HIGH,4278,Criação de um administrador com e-mail já registrado em um recepcionista
10270,HIGH,7431,Push filtrando pela seção Event
10291,HIGH,7017,Push para convidados com filtro de dados pessoais
10292,HIGH,6930,Exportar lista de convidados do evento com enquete
10537,HIGH,8110,Remoção do key part com sucesso
10542,MEDIUM,7555,Enable/disable capturated grid
10248,MEDIUM,8404,Inserir MO com mesmo nome
10431,HIGH,8457,Permissão para colocar MO On Line
10532,HIGH,7755,Inserir no forno um item exposto
10534,HIGH,7598,Congelamento de PCB
10535,HIGH,7755,Inserir no forno um item exposto
10533,HIGH,7755,Inserir no forno um item exposto
10353,MEDIUM,7738,Descongelamento com servidor parado
10402,MEDIUM,6702,Modificação válida para os campos
10538,MEDIUM,7775,Consulta manual por Part Number válido
10141,LOW,7773,Consultar por Part Number inválido
9354,MEDIUM,6799,Editar Configuração de Material com dados inválidos
9350,MEDIUM,6746,Criar Configuração de Material inválida
9312,MEDIUM,6710,Editar Inventário sem Sucesso
9292,MEDIUM,6730,Remover Inventário
9285,MEDIUM,6699,Criar Inventário sem Sucesso
10546,MEDIUM,6568,Insert FINALLY
9356,LOW,7043,Limites de caracteres aceitos
9392,LOW,7088,Importar Configuração de Material sem sucesso
9520,LOW,6797,Exportar Formulário de Itens
9429,LOW,6863,Internacionalização
9455,LOW,6830,Layout
9456,LOW,6830,Layout
10499,MEDIUM,7912,Caracteres aceitos ao montar bandeja
9195,LOW,6697,Editar Configuração de Espessura com dados inválidos
10139,LOW,7775,Consulta manual por Part Number válido
10021,MEDIUM,7625,Congelamento de PCB em dry box para dry pack
9897,LOW,7860,Repor rolo com códigos inválidos
10250,MEDIUM,8405,Aumentar a quantidade de MACs de uma MO para o C16
9802,MEDIUM,7742,Ações para admin/host participante de evento global removido no Gamma
9802,MEDIUM,7746,Inspeção de usabilidade para tratamento de exclusão de evento global
9885,MEDIUM,7739,Ações para convidado participante de evento global removido no Gamma
