Precision,Recall,FMeasure,Configuracao,K,Algoritmo,Heuristica
0.8333333333333334,0.8333333333333334,0.8333333333333334,cosine_False_1,1,cosine,nao
0.3333333333333333,0.3333333333333333,0.3333333333333333,cosine_False_1,1,cosine,nao
0.8,0.6666666666666666,0.689655172413793,cosine_False_1,1,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_1,1,cosine,nao
1.0,0.8333333333333334,0.8620689655172415,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
0.3333333333333333,1.0,0.7142857142857143,cosine_False_1,1,cosine,nao
0.5,0.8,0.7142857142857143,cosine_False_1,1,cosine,nao
0.6,0.6,0.6,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_1,1,cosine,nao
0.6,0.6,0.6,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
1.0,1.0,1.0,cosine_False_1,1,cosine,nao
0.25,0.3333333333333333,0.3125,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.125,0.5,0.3125,cosine_False_1,1,cosine,nao
0.125,1.0,0.4166666666666667,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.125,0.3333333333333333,0.25,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.125,0.16666666666666666,0.15625,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.0,0.0,0.0,cosine_False_1,1,cosine,nao
0.42857142857142855,0.375,0.3846153846153846,cosine_False_2,2,cosine,nao
0.375,0.21428571428571427,0.234375,cosine_False_2,2,cosine,nao
0.7142857142857143,0.5,0.5319148936170213,cosine_False_2,2,cosine,nao
0.6,0.6,0.6,cosine_False_2,2,cosine,nao
0.8571428571428571,0.75,0.7692307692307692,cosine_False_2,2,cosine,nao
0.5,0.5,0.5,cosine_False_2,2,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_2,2,cosine,nao
0.25,0.3333333333333333,0.3125,cosine_False_2,2,cosine,nao
0.6,0.6,0.6,cosine_False_2,2,cosine,nao
0.25,0.25,0.25,cosine_False_2,2,cosine,nao
1.0,0.875,0.8974358974358975,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.6,0.5,0.5172413793103449,cosine_False_2,2,cosine,nao
0.25,0.08333333333333333,0.09615384615384615,cosine_False_2,2,cosine,nao
0.8571428571428571,1.0,0.9677419354838709,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.2857142857142857,0.6666666666666666,0.5263157894736842,cosine_False_2,2,cosine,nao
0.6,0.375,0.40540540540540543,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.5,0.09090909090909091,0.10869565217391305,cosine_False_2,2,cosine,nao
0.7,1.0,0.9210526315789475,cosine_False_2,2,cosine,nao
0.1,0.3333333333333333,0.22727272727272724,cosine_False_2,2,cosine,nao
0.3333333333333333,0.42857142857142855,0.4054054054054054,cosine_False_2,2,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.4444444444444444,0.5,0.48780487804878053,cosine_False_2,2,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.2222222222222222,1.0,0.5882352941176471,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_2,2,cosine,nao
0.625,0.4166666666666667,0.4464285714285715,cosine_False_2,2,cosine,nao
0.8571428571428571,0.75,0.7692307692307692,cosine_False_2,2,cosine,nao
0.625,0.4166666666666667,0.4464285714285715,cosine_False_2,2,cosine,nao
0.25,1.0,0.625,cosine_False_2,2,cosine,nao
0.5714285714285714,0.4444444444444444,0.4651162790697673,cosine_False_2,2,cosine,nao
0.2857142857142857,0.2857142857142857,0.2857142857142857,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.5,0.1111111111111111,0.13157894736842105,cosine_False_2,2,cosine,nao
0.1111111111111111,1.0,0.38461538461538464,cosine_False_2,2,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_2,2,cosine,nao
1.0,0.2,0.23809523809523808,cosine_False_2,2,cosine,nao
0.2,0.2857142857142857,0.26315789473684204,cosine_False_2,2,cosine,nao
0.5,0.14285714285714285,0.16666666666666666,cosine_False_2,2,cosine,nao
0.3333333333333333,0.375,0.36585365853658536,cosine_False_2,2,cosine,nao
0.1,0.3333333333333333,0.22727272727272724,cosine_False_2,2,cosine,nao
1.0,0.25,0.29411764705882354,cosine_False_2,2,cosine,nao
0.4,0.5,0.47619047619047616,cosine_False_2,2,cosine,nao
0.4444444444444444,0.36363636363636365,0.37735849056603776,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
1.0,0.5,0.5555555555555556,cosine_False_2,2,cosine,nao
1.0,0.16666666666666666,0.19999999999999996,cosine_False_2,2,cosine,nao
0.3333333333333333,0.5,0.45454545454545453,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.75,0.75,0.75,cosine_False_2,2,cosine,nao
0.5,0.5,0.5,cosine_False_2,2,cosine,nao
0.6666666666666666,0.6666666666666666,0.6666666666666666,cosine_False_2,2,cosine,nao
0.3333333333333333,0.6,0.5172413793103449,cosine_False_2,2,cosine,nao
0.75,0.5454545454545454,0.5769230769230769,cosine_False_2,2,cosine,nao
0.125,0.125,0.125,cosine_False_2,2,cosine,nao
0.375,0.3333333333333333,0.34090909090909094,cosine_False_2,2,cosine,nao
0.2,0.16666666666666666,0.17241379310344826,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.1,0.1111111111111111,0.10869565217391304,cosine_False_2,2,cosine,nao
0.4,0.2857142857142857,0.30303030303030304,cosine_False_2,2,cosine,nao
0.5714285714285714,0.4,0.425531914893617,cosine_False_2,2,cosine,nao
0.25,0.375,0.3409090909090909,cosine_False_2,2,cosine,nao
0.16666666666666666,0.25,0.22727272727272727,cosine_False_2,2,cosine,nao
0.42857142857142855,0.5,0.48387096774193544,cosine_False_2,2,cosine,nao
0.6,0.75,0.7142857142857143,cosine_False_2,2,cosine,nao
0.4444444444444444,0.36363636363636365,0.37735849056603776,cosine_False_2,2,cosine,nao
0.8,0.5,0.5405405405405405,cosine_False_2,2,cosine,nao
1.0,0.12,0.14563106796116504,cosine_False_2,2,cosine,nao
0.8,0.3333333333333333,0.3773584905660377,cosine_False_2,2,cosine,nao
0.625,0.625,0.625,cosine_False_2,2,cosine,nao
0.1,0.14285714285714285,0.13157894736842102,cosine_False_2,2,cosine,nao
0.2857142857142857,1.0,0.6666666666666666,cosine_False_2,2,cosine,nao
0.1111111111111111,0.3333333333333333,0.2380952380952381,cosine_False_2,2,cosine,nao
0.5,0.8333333333333334,0.7352941176470589,cosine_False_2,2,cosine,nao
0.42857142857142855,1.0,0.7894736842105262,cosine_False_2,2,cosine,nao
0.1111111111111111,0.5,0.29411764705882354,cosine_False_2,2,cosine,nao
0.125,0.5,0.3125,cosine_False_2,2,cosine,nao
0.2,1.0,0.5555555555555556,cosine_False_2,2,cosine,nao
0.4166666666666667,0.5555555555555556,0.5208333333333334,cosine_False_2,2,cosine,nao
0.36363636363636365,0.8,0.6451612903225806,cosine_False_2,2,cosine,nao
1.0,0.2857142857142857,0.3333333333333333,cosine_False_2,2,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_2,2,cosine,nao
0.4,0.6666666666666666,0.5882352941176471,cosine_False_2,2,cosine,nao
0.7142857142857143,0.625,0.6410256410256411,cosine_False_2,2,cosine,nao
0.45454545454545453,1.0,0.8064516129032256,cosine_False_2,2,cosine,nao
1.0,0.3333333333333333,0.3846153846153846,cosine_False_2,2,cosine,nao
0.5714285714285714,0.4444444444444444,0.4651162790697673,cosine_False_2,2,cosine,nao
0.4,0.6666666666666666,0.5882352941176471,cosine_False_2,2,cosine,nao
0.36363636363636365,0.8,0.6451612903225806,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.1,0.3333333333333333,0.22727272727272724,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.1,0.5,0.2777777777777778,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.0,0.0,0.0,cosine_False_2,2,cosine,nao
0.5,0.6666666666666666,0.625,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.8888888888888888,1.0,0.9756097560975611,cosine_False_2,2,cosine,nao
0.1111111111111111,0.2,0.17241379310344832,cosine_False_2,2,cosine,nao
1.0,0.6,0.6521739130434783,cosine_False_2,2,cosine,nao
0.16666666666666666,1.0,0.5,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.7777777777777778,1.0,0.945945945945946,cosine_False_2,2,cosine,nao
0.8571428571428571,1.0,0.9677419354838709,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.5555555555555556,0.7142857142857143,0.6756756756756757,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.7777777777777778,1.0,0.945945945945946,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.875,1.0,0.9722222222222222,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.75,1.0,0.9375,cosine_False_2,2,cosine,nao
0.9,1.0,0.9782608695652175,cosine_False_2,2,cosine,nao
0.75,0.75,0.75,cosine_False_2,2,cosine,nao
0.875,1.0,0.9722222222222222,cosine_False_2,2,cosine,nao
0.6,1.0,0.8823529411764706,cosine_False_2,2,cosine,nao
0.9,1.0,0.9782608695652175,cosine_False_2,2,cosine,nao
0.75,0.75,0.75,cosine_False_2,2,cosine,nao
0.875,1.0,0.9722222222222222,cosine_False_2,2,cosine,nao
0.9,1.0,0.9782608695652175,cosine_False_2,2,cosine,nao
0.75,0.6666666666666666,0.6818181818181819,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.8,1.0,0.9523809523809523,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.625,0.7142857142857143,0.6944444444444444,cosine_False_2,2,cosine,nao
0.5555555555555556,1.0,0.8620689655172413,cosine_False_2,2,cosine,nao
0.75,0.8571428571428571,0.8333333333333333,cosine_False_2,2,cosine,nao
1.0,0.875,0.8974358974358975,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
1.0,0.9,0.9183673469387754,cosine_False_2,2,cosine,nao
0.75,0.75,0.75,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
1.0,0.875,0.8974358974358975,cosine_False_2,2,cosine,nao
1.0,0.9,0.9183673469387754,cosine_False_2,2,cosine,nao
1.0,0.6,0.6521739130434783,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.7777777777777778,1.0,0.945945945945946,cosine_False_2,2,cosine,nao
0.75,0.75,0.75,cosine_False_2,2,cosine,nao
1.0,0.875,0.8974358974358975,cosine_False_2,2,cosine,nao
1.0,1.0,1.0,cosine_False_2,2,cosine,nao
0.4444444444444444,0.8,0.6896551724137933,cosine_False_2,2,cosine,nao
0.6666666666666666,0.3333333333333333,0.3703703703703703,cosine_False_2,2,cosine,nao
0.8333333333333334,1.0,0.9615384615384615,cosine_False_2,2,cosine,nao
0.45454545454545453,0.7142857142857143,0.641025641025641,cosine_False_2,2,cosine,nao
