ID,Precision,Recall,FMeasure,Configuracao,K,Algoritmo,Heuristica
82,125,0.14285714285714285,0.1894736842105263,cosine_False_1,1,cosine,nao
83,0.2857142857142857,1.0,0.7826086956521738,cosine_False_1,1,cosine,nao
84,1.0,0.3333333333333333,0.5806451612903225,cosine_False_1,1,cosine,nao
85,0.6,0.5,0.7297297297297297,cosine_False_1,1,cosine,nao
86,0.6,1.0,1.148936170212766,cosine_False_1,1,cosine,nao
87,0.1111111111111111,0.5,0.3333333333333333,cosine_False_1,1,cosine,nao
88,125,0.5,0.36,cosine_False_1,1,cosine,nao
89,0.2,1.0,0.6206896551724138,cosine_False_1,1,cosine,nao
90,0.5,0.3333333333333333,0.5142857142857143,cosine_False_1,1,cosine,nao
91,0.5,0.6,0.7826086956521738,cosine_False_1,1,cosine,nao
92,1.0,0.2857142857142857,0.5070422535211268,cosine_False_1,1,cosine,nao
93,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
94,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
95,0.6666666666666666,0.5,0.75,cosine_False_1,1,cosine,nao
96,0.8,0.8,1.1076923076923078,cosine_False_1,1,cosine,nao
97,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
98,0.8,0.4444444444444444,0.7128712871287128,cosine_False_1,1,cosine,nao
99,0.75,1.0,1.255813953488372,cosine_False_1,1,cosine,nao
100,0.6,0.6,0.8307692307692308,cosine_False_1,1,cosine,nao
101,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
102,125,0.3333333333333333,0.3050847457627119,cosine_False_1,1,cosine,nao
103,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
104,0.5,0.5,0.6923076923076923,cosine_False_1,1,cosine,nao
105,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
106,0.0,0.0,0.0,cosine_False_1,1,cosine,nao
107,0.5,0.6666666666666666,0.8372093023255814,cosine_False_1,1,cosine,nao
108,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
109,0.8,0.5,0.782608695652174,cosine_False_1,1,cosine,nao
110,125,0.2,0.23376623376623376,cosine_False_1,1,cosine,nao
111,1.0,0.6,0.9473684210526314,cosine_False_1,1,cosine,nao
112,0.2,1.0,0.6206896551724138,cosine_False_1,1,cosine,nao
113,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
114,0.75,0.8571428571428571,1.1368421052631579,cosine_False_1,1,cosine,nao
115,0.8,0.6666666666666666,0.9729729729729729,cosine_False_1,1,cosine,nao
116,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
117,1.0,0.7142857142857143,1.0843373493975903,cosine_False_1,1,cosine,nao
118,1.0,0.7142857142857143,1.0843373493975903,cosine_False_1,1,cosine,nao
119,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
120,0.75,0.8571428571428571,1.1368421052631579,cosine_False_1,1,cosine,nao
121,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
122,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
123,1.0,0.7142857142857143,1.0843373493975903,cosine_False_1,1,cosine,nao
124,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
125,0.75,0.8571428571428571,1.1368421052631579,cosine_False_1,1,cosine,nao
126,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
127,0.8,0.6666666666666666,0.9729729729729729,cosine_False_1,1,cosine,nao
128,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
129,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
130,1.0,0.7142857142857143,1.0843373493975903,cosine_False_1,1,cosine,nao
131,0.6,1.0,1.148936170212766,cosine_False_1,1,cosine,nao
132,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
133,1.0,1.0,1.3846153846153846,cosine_False_1,1,cosine,nao
134,1.0,0.7142857142857143,1.0843373493975903,cosine_False_1,1,cosine,nao
